Hours,Minutes,Seconds,Declination,Sign
03,23,47.1387,10.3632069,cetus
03,23,24.7161,0.4469725,cetus
03,23,20.8039,-1.3029516,cetus
02,45,21.4131,-1.2210265,cetus
02,44,35.7021,-23.8536034,cetus
01,45,51.8397,-23.7562580,cetus
01,45,50.1333,-24.8729095,cetus
23,56,26.5355,-24.8042011,cetus
23,56,24.7917,-6.3042021,cetus
00,26,22.2486,-6.3074551,cetus
07,26,36.5075,-82.7758865,chamaeleon
13,56,26.6661,-83.1200714,chamaeleon
13,51,07.5441,-75.6235962,chamaeleon
11,19,25.6735,-75.6840134,chamaeleon
09,00,58.4849,-75.4954681,chamaeleon
07,36,51.5289,-75.2899170,chamaeleon
13,38,43.2687,-64.6379395,circinus
13,38,49.7951,-65.6378784,circinus
13,49,04.3255,-65.6249542,circinus
13,49,50.6089,-70.6244431,circinus
14,56,39.9459,-70.5115433,circinus
14,56,00.8721,-68.0122070,circinus
15,06,13.7103,-67.9909286,circinus
15,05,24.8485,-64.0751266,circinus
15,20,39.9789,-64.0415649,circinus
15,20,13.0967,-61.4587479,circinus
15,30,21.5435,-61.4353065,circinus
15,30,11.9682,-60.4354935,circinus
15,29,31.6587,-55.4362831,circinus
15,12,20.0427,-55.4754944,circinus
14,40,56.2717,-55.5400887,circinus
14,42,03.5939,-64.5390244,circinus
05,03,53.8665,-42.8255501,columba
05,05,01.1850,-27.0772038,columba
06,11,58.2159,-27.2787991,columba
06,11,35.7763,-33.0282326,columba
06,39,36.9263,-33.1128159,columba
06,38,50.1399,-43.1116486,columba
06,03,48.4265,-43.0057793,columba
11,58,25.0885,13.3040485,coma_berenices
11,58,26.1459,28.3040466,coma_berenices
12,06,22.9593,28.3039627,coma_berenices
12,06,22.6815,33.3039627,coma_berenices
12,26,13.0225,33.3074303,coma_berenices
12,26,13.8465,31.3074341,coma_berenices
13,20,49.8595,31.3437366,coma_berenices
13,20,54.3779,27.8437748,coma_berenices
13,35,48.9293,27.8603134,coma_berenices
13,36,06.9433,14.3604937,coma_berenices
12,56,14.1759,14.3225088,coma_berenices
12,56,14.8866,13.3225126,coma_berenices
17,58,30.1113,-37.0174599,corona_australis
19,18,23.1167,-36.7785645,corona_australis
19,19,04.7136,-45.2775650,corona_australis
18,09,14.1642,-45.4859734,corona_australis
17,59,14.2281,-45.5163460,corona_australis
15,16,23.8839,25.5380573,corona_borealis
15,16,03.8205,32.5376778,corona_borealis
15,30,59.2747,32.5726128,corona_borealis
15,30,34.4765,39.5721130,corona_borealis
15,49,27.7025,39.6189079,corona_borealis
16,24,17.2677,39.7117195,corona_borealis
16,25,07.1526,26.7128716,corona_borealis
16,15,08.8095,26.6855240,corona_borealis
16,15,12.0438,25.6855946,corona_borealis
16,07,13.3763,25.6641407,corona_borealis
12,56,31.9326,-11.6773882,corvus
11,56,23.2224,-11.6957970,corvus
11,56,21.9145,-25.1957951,corvus
12,41,37.0860,-25.1864014,corvus
12,41,35.6406,-22.6864090,corvus
12,56,40.0488,-22.6773415,corvus
10,51,18.5133,-6.6621790,crater
10,51,13.8993,-11.6621428,crater
10,51,06.1297,-19.6620827,crater
10,56,07.3407,-19.6666222,crater
10,56,01.9399,-25.1665821,crater
11,56,21.9145,-25.1957951,crater
11,56,23.2224,-11.6957970,crater
11,56,23.6655,-6.6957974,crater
11,37,22.1517,-6.6916924,crater
11,56,16.9843,-55.6957932,crux
11,56,13.7673,-64.6957855,crux
12,57,45.2113,-64.6769638,crux
12,57,20.2827,-55.6771049,crux
19,20,31.8351,27.7324085,cygnus
19,20,22.8606,30.2321968,cygnus
19,26,23.7066,30.2493153,cygnus
19,25,58.2251,36.7487144,cygnus
19,28,28.7173,36.7558022,cygnus
19,27,56.0466,43.7550354,cygnus
19,13,52.8737,43.7149391,cygnus
19,13,30.1249,47.7143936,cygnus
19,08,28.9554,47.6998672,cygnus
19,07,30.3503,55.6984482,cygnus
19,27,37.1023,55.7560043,cygnus
19,27,14.2920,58.2554703,cygnus
19,48,24.1329,58.3138733,cygnus
19,48,09.4179,59.8135414,cygnus
20,02,17.5830,59.8510780,cygnus
20,34,51.9823,59.9322395,cygnus
20,34,38.5929,61.3486443,cygnus
20,38,29.7107,61.3576965,cygnus
20,39,19.5267,55.2753258,cygnus
22,02,24.5253,55.4364891,cygnus
22,02,33.4104,53.3532715,cygnus
22,03,03.0391,44.6036453,cygnus
21,59,30.8655,44.5982513,cygnus
21,59,31.5935,44.3482628,cygnus
21,57,30.3937,44.3451195,cygnus
21,57,50.6430,36.5953827,cygnus
21,49,16.7916,36.5815468,cygnus
21,49,34.8435,28.5817947,cygnus
21,30,28.8393,28.5480537,cygnus
21,00,20.1395,28.4871883,cygnus
21,00,17.4201,29.4871387,cygnus
19,45,00.2265,29.3010578,cygnus
19,45,05.3283,27.8011742,cygnus
20,38,19.1706,2.4360874,delphinus
20,24,18.9843,2.4021468,delphinus
20,24,03.3495,8.9018240,delphinus
20,14,32.8020,8.8779116,delphinus
20,14,14.1594,16.1275158,delphinus
20,20,44.8677,16.1439629,delphinus
20,20,32.1717,20.8936996,delphinus
20,39,35.2649,20.9399471,delphinus
20,39,37.8396,19.9399967,delphinus
21,08,42.9079,20.0046406,delphinus
21,08,59.6073,12.3382607,delphinus
20,58,28.4631,12.3157644,delphinus
20,58,41.0631,6.4826641,delphinus
20,56,10.9212,6.4771614,delphinus
20,56,19.4633,2.4773185,delphinus
03,53,16.5091,-52.7968445,dorado
04,03,11.4951,-52.8228111,dorado
04,02,46.3005,-56.1555862,dorado
04,22,36.1110,-56.2093849,dorado
04,22,13.1016,-58.7088547,dorado
04,37,05.8883,-58.7506638,dorado
04,35,10.5645,-67.2479248,dorado
04,34,19.5657,-69.7467194,dorado
06,33,49.0615,-70.1041336,dorado
06,35,44.9397,-64.1070251,dorado
06,00,41.6743,-64.0010529,dorado
06,01,22.8147,-61.0020981,dorado
05,31,25.8273,-60.9112892,dorado
05,32,04.5129,-57.4122620,dorado
05,02,11.4583,-57.3230400,dorado
05,02,42.4842,-53.8238029,dorado
04,32,52.2589,-53.7376366,dorado
04,33,26.9395,-48.7384491,dorado
04,19,31.7727,-48.6996651,dorado
04,08,35.9779,-48.6699715,dorado
04,08,23.6735,-50.6697006,dorado
03,53,30.5199,-50.6304779,dorado
09,22,27.7137,72.9741364,draco
09,28,45.8868,81.4677658,draco
10,52,25.2999,81.3396072,draco
10,51,16.4635,79.3401794,draco
